name,nickname
クエストクリア報酬QP,報酬QP
悠久の実,実
煌星のカケラ,カケラ
真理の卵,卵
九十九鏡,鏡
暁光炉心,炉心
奇奇神酒,神酒
呪獣胆石,胆石
原初の産毛,産毛
智慧のスカラベ,スカラベ
封魔のランプ,ランプ
戦馬の幼角,幼角
精霊根,根
竜の逆鱗,逆鱗
蛮神の心臓,心臓
混沌の爪,爪
黒獣脂,脂
血の涙石,涙石
神脈霊子,霊子
光銀の冠,冠
禍罪の矢尻,矢尻
閑古鈴,鈴
オーロラ鋼,オーロラ
巨人の指輪,指輪
永遠結氷,結氷
枯淡勾玉,勾玉
追憶の貝殻,貝殻
大騎士勲章,勲章
八連双晶,八連
蛇の宝玉,蛇玉
鳳凰の羽根,羽根
ホムンクルスベビー,ホム
隕蹄鉄,蹄鉄
禁断の頁,頁
無間の歯車,歯車
ゴーストランタン,ランタン
世界樹の種,種
励振火薬,火薬
宵哭きの鉄杭,鉄杭
魔術髄液,髄液
万死の毒針,毒針
愚者の鎖,鎖
虚影の塵,塵
竜の牙,牙
凶骨,骨
英雄の証,証
剣の秘石,剣秘
弓の秘石,弓秘
槍の秘石,槍秘
騎の秘石,騎秘
術の秘石,術秘
殺の秘石,殺秘
狂の秘石,狂秘
剣の魔石,剣魔
弓の魔石,弓魔
槍の魔石,槍魔
騎の魔石,騎魔
術の魔石,術魔
殺の魔石,殺魔
狂の魔石,狂魔
剣の輝石,剣輝
弓の輝石,弓輝
槍の輝石,槍輝
騎の輝石,騎輝
術の輝石,術輝
殺の輝石,殺輝
狂の輝石,狂輝
セイバーモニュメント,剣モ
アーチャーモニュメント,弓モ
ランサーモニュメント,槍ﾓ
ライダーモニュメント,騎モ
キャスターモニュメント,術モ
アサシンモニュメント,殺モ
バーサーカーモニュメント,狂モ
セイバーピース,剣ピ
アーチャーピース,弓ピ
ランサーピース,槍ピ
ライダーピース,騎ピ
キャスターピース,術ピ
アサシンピース,殺ピ
バーサーカーピース,狂ピ
ネロメダル〔銅〕,
ネロメダル〔銀〕,
ネロメダル〔金〕,
月見団子,
特選団子,
プチケーキ,
スイートキャンドル,
いたずらコウモリ,
かぼちゃランタン,
九十九髪茄子,
曜変天目茶碗,
平蜘蛛,
ミニリボン,
シルバーベル,
ゴールドスター,
魔法のくつした,
シンクウカーン,
バンノウレンズ,
トランＧスター,
材料チョコ,
剣のコインチョコ,
弓のコインチョコ,
槍のコインチョコ,
騎のコインチョコ,
術のコインチョコ,
殺のコインチョコ,
狂のコインチョコ,
全のコインチョコ,
黒猫フィギュア,
ストロベリーアイス,
ミネラルウォーター,
モナ・リザ（偽）,
自画像（偽）,
人体図（偽）,
手稿（真）,
手稿（偽）,
剣の印章,
弓の印章,
槍の印章,
騎の印章,
術の印章,
殺の印章,
狂の印章,
鬼瓢箪,
金丹,
仙桃,
肉まん,
功徳の札,
大蓮華,
功徳の玉,
鬼印のつづら,
錦の反物,
竜宮珊瑚,
真水,
食料,
木材,
石材,
鉄材,
オイル,
セメント,
レアルタ合金,
エードラム合金,
イシュカ合金,
高級プリン,
マジカル☆ブシドームサシ,
ライオン号くん,
真紅の花びら,
銅のズダ袋,
銀のズダ袋,
金のズダ袋,
フルーツケーキ,
ショートケーキ,
チーズケーキ,
奇跡のくつした,
永楽銭,
砂金,
小判,
サクラチップ,
ジャンクパーツ,
チタンプレート,
マグホイール,
インスタント麺,
コノートコイン,
ドリルグミ,
ミサイルラムネ,
ビームクッキー,
ホロウキャンドル,キャンドル
コープスベル,ベル
スノーベビー,ベビー
冥界の砂,砂
ファンシーシュガー,シュガー
ミスティックミルク,ミルク
クークーカカオ,カカオ
フエールフレーバー,フレーバー
ヒポぐるみ,ヒポぐるみ
イリアス紙片,紙片
賢者のチョーク,チョーク
カエルの手拭い,手拭い
カエルの根付,根付
カエルの香炉,香炉
ワイルドポテト,ポテト
ストロングドッグ,ドッグ
マッスルバーガー,バーガー
金の延べ棒,
AUOくじ,くじ
ドクロコーン,コーン
カナボーチュロス,チュロス
コヅチサンデー,サンデー
オーラバンド,バンド
ムーチョダンベル,ダンベル
アディオスマイク,マイク
ルチャベルト,ベルト
山の幸,
川の幸,
雀の幸,
スギの材木,スギ
ヒノキの材木,ヒノキ
ケヤキの材木,ケヤキ
言記しの紙,紙
想紡ぎの墨,墨
夢綴りの筆,筆
バッドコースター,コースター
